Country,Lat,Lon
ISRAEL,31.046051,34.851612
ITALY,41.87194,12.56738
JAMAICA,18.109581,-77.297508
JAPAN,36.204824,138.252924
JORDAN,30.585164,36.238414
KAZAKHSTAN,48.019573,66.923684
KENYA,-0.023559,37.906193
KIRIBATI,-3.370417,-168.734039
KOREA,37.566535,126.977969
KUWAIT,29.31166,47.481766
KYRGYZSTAN,41.20438,74.766098
LAO,19.85627,102.495496
LATVIA,56.879635,24.603189
LEBANON,33.854721,35.862285
LESOTHO,-29.609988,28.233608
LIBERIA,6.428055,-9.429499
LIBYA,26.3351,17.228331
LIECHTENSTEIN,47.166,9.555373
LITHUANIA,55.169438,23.881275
LUXEMBOURG,49.815273,6.129583
MADAGASCAR,-18.766947,46.869107
MALAWI,-13.254308,34.301525
MALAYSIA,4.210484,101.975766
MALDIVES,3.202778,73.22068
MALI,17.570692,-3.996166
MALTA,35.937496,14.375416
MARSHALL ISLANDS,7.131474,171.184478
MAURITANIA,21.00789,-10.940835
MAURITIUS,-20.348404,57.552152
MEXICO,23.634501,-102.552784
MICRONESIA,7.425554,150.550812
MOLDOVA,47.411631,28.369885
MONACO,43.750298,7.412841
MONGOLIA,46.862496,103.846656
MONTENEGRO,42.708678,19.37439
MOROCCO,31.791702,-7.09262
MOZAMBIQUE,-18.665695,35.529562
MYANMAR,21.913965,95.956223
NAMIBIA,-22.95764,18.49041
NAURU,-0.522778,166.931503
NEPAL,28.394857,84.124008
NETHERLANDS,52.132633,5.291266
NEW ZEALAND,-40.900557,174.885971
NICARAGUA,12.865416,-85.207229
NIGER,17.607789,8.081666
NIGERIA,9.081999,8.675277
NORTH MACEDONIA,41.608635,21.745275
NORWAY,60.472024,8.468946
OMAN,21.512583,55.923255
PAKISTAN,30.375321,69.345116
PALAU,7.51498,134.58252
PANAMA,8.537981,-80.782127
PAPUA NEW GUINEA,-6.314993,143.95555
PARAGUAY,-23.442503,-58.443832
PERU,-9.189967,-75.015152
PHILIPPINES,12.879721,121.774017
POLAND,51.919438,19.145136
PORTUGAL,39.399872,-8.224454
QATAR,25.354826,51.183884
ROMANIA,45.943161,24.96676
RUSSIAN FEDERATION,61.52401,105.318756
RWANDA,-1.940278,29.873888
SAINT KITTS AND NEVIS,17.357822,-62.782998
SAINT LUCIA,13.909444,-60.978893
SAINT VINCENT AND THE GRENADINES,12.984305,-61.287228
SAMOA,-13.759029,-172.104629
SAN MARINO,43.94236,12.457777
SAO TOME AND PRINCIPE,0.18636,6.613081
SAUDI ARABIA,23.885942,45.079162
SENEGAL,14.497401,-14.452362
SERBIA,44.016521,21.005859
SEYCHELLES,-4.679574,55.491977
SIERRA LEONE,8.460555,-11.779889
SINGAPORE,1.352083,103.819836
SLOVAKIA,48.669026,19.699024
SLOVENIA,46.151241,14.995463
SOLOMON ISLANDS,-9.64571,160.156194
SOMALIA,5.152149,46.199616
SOUTH AFRICA,-30.559482,22.937506
SOUTH SUDAN,6.877,31.307
SPAIN,40.463667,-3.74922
SRI LANKA,7.873054,80.771797
SUDAN,12.862807,30.217636
SURINAME,3.919305,-56.027783
SWEDEN,60.128161,18.643501
SWITZERLAND,46.818188,8.227512
SYRIAN ARAB REPUBLIC,34.802075,38.996815
TAJIKISTAN,38.861034,71.276093
TANZANIA,-6.369028,34.888822
THAILAND,15.870032,100.992541
TIMOR-LESTE,-8.874217,125.727539
TOGO,8.619543,0.824782
TONGA,-21.178986,-175.198242
TRINIDAD AND TOBAGO,10.691803,-61.222503
TUNISIA,33.886917,9.537499
TURKEY,38.963745,35.243322
TURKMENISTAN,38.969719,59.556278
TUVALU,-7.109535,177.64933
UGANDA,1.373333,32.290275
UKRAINE,48.379433,31.16558
UNITED ARAB EMIRATES,23.424076,53.847818
UNITED KINGDOM,55.378051,-3.435973
UNITED STATES,37.09024,-95.712891
URUGUAY,-32.522779,-55.765835
UZBEKISTAN,41.377491,64.585262
VANUATU,-15.376706,166.959158
VENEZUELA,6.42375,-66.58973
VIET NAM,14.058324,108.277199
YEMEN,15.552727,48.516388
ZAMBIA,-13.133897,27.849332
ZIMBABWE,-19.015438,29.154857
